SMILES,LogD {measured},UNIT {LogD},pH,UNIT {pH},Temperature,UNIT {Temperature},logPow Method,logPow Buffer,Ionic strength,UNIT {Ionic strength},Species,Test duration,Material Nanoparticles of Elements,APS,UNIT {APS},Explosure concentration,UNIT {Explosure concentration},Crystal structure of nanoparticles,Ionisable
COC1=CC=C(C=C1)C1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)C1OC(C)=O,2,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,1.38,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
ClC1=CC=C2N(C3CCN(CCCN4C(=O)NC5=CC=CC=C45)CC3)C(=O)NC2=C1,3.17,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN1CC(C=C2C1CC1=CNC3=C1C2=CC=C3)C(=O)NC1(C)OC2(O)C3CCCN3C(=O)C(CC3=CC=CC=C3)N2C1=O,4.38,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2O,3.9,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC,4.52,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,2.39,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1,0.49,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
OC(CN1C=NC=N1)(CN1C=NC=N1)C1=CC=C(F)C=C1F,0.66,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CCOC(=O)C1=C2CN(C)C(=O)C3=C(C=CC(F)=C3)N2C=N1,0.78,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
COC1=C2O[C@H]3C[C@@H](O)C=C[C@]33CCN(C)CC(C=C1)=C23,0.21,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,2.46,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,1.49,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN(C)CCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,1.97,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,5.9,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1,1.57,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
COC1=CC2=C(SC3=CC=CC=C3N2C[C@H](C)CN(C)C)C=C1,3.04,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,1.29,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
