smiles,logP
O=[N+]([O-])c1ccc(Oc2ccccc2)cc1,3.92
O=[N+]([O-])c1cccc(Cl)c1,2.46
O=Cc1cccc([N+](=O)[O-])c1,1.47
COc1ccccc1[N+](=O)[O-],1.73
COc1ccc([N+](=O)[O-])cc1,2.03
COc1ccc(N)c([N+](=O)[O-])c1,1.94
COc1ccc([N+](=O)[O-])cc1N,1.47
CC(=O)c1cccc([N+](=O)[O-])c1,1.42
NC(=O)c1ccccc1C(N)=O,-1.73
CCCCCCCC#N,2.75
COc1ccc(NC(C)=O)c([N+](=O)[O-])c1,1.09
CN(C)c1ccc(C=O)cc1,1.81
CCCCCCCCCO,3.77
Nc1ccc2ccccc2c1S(=O)(=O)O,-1.16
N#CCC(=O)O,-0.76
