,logP,smiles,Temperature,pH
1769,2.39,[H][O][C](=[O])[C]([H])([H])[C]([H])([H])[C]([H])([C]([H])([H])[H])[C]1([H])[C]([H])([H])[C]([H])([H])[C]2([H])[C]3([H])[C]([H])([O][H])[C]([H])([H])[C]4([H])[C]([H])([H])[C]([H])([O][H])[C]([H])([H])[C]([H])([H])[C]4([C]([H])([H])[H])[C]3([H])[C]([H])([H])[C]([H])([O][H])[C]12[C]([H])([H])[H],30.0,3.0
1775,5.77,[H]/[C](=[C](/[H])[C]([H])([H])[N]1[C]([H])([H])[C]([H])([H])[N]([C]([H])([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[C]([H])([H])[C]1([H])[H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H],25.0,4.5
1823,4.45,[H][O][c]1[c]([Cl])[c]([H])[c]([Cl])[c]([Cl])[c]1[Cl],25.0,5.1
1861,-0.62,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],20.0,5.9
1862,-0.62,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],25.0,7.1
1863,-0.62,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,4.9
1864,-0.62,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,5.9
1865,-0.62,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,7.5
1866,-0.62,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,7.1
1878,-0.62,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,7.4
1927,-0.24,[H][C]1=[N][c]2[c]([H])[c]([Cl])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]2[S](=[O])(=[O])[N]1[H],15.0,6.5
