,smiles,logP,pH,Temperature
84913,CCC(C)C(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCSC)NC(=O)C(N)C(C)C)C(O)=O,-0.63,7.0,25.0
84914,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C1CCCN1)C(O)=O,-1.06,7.0,25.0
84915,CC(C)CC(N)C(=O)N1CCCC1C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(O)=O,-0.92,7.0,25.0
84916,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)NC(CC(C)C)C(O)=O,-1.0,7.0,25.0
84917,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)N1CCCC1C(O)=O,-1.18,7.0,25.0
84918,CC(C)CC(NC(=O)C(NC(=O)C1CCCN1C(=O)C(N)C(C)C)C(C)C)C(O)=O,-1.91,7.0,25.0
84919,NC(CC1=CC=C(O)C=C1)C(=O)N1CCCC1C(=O)NCC(=O)NC(CC1=CNC2=CC=CC=C12)C(O)=O,-1.25,7.0,25.0
84920,CCC(C)C(NC(=O)CNC(=O)C1CCCN1C(=O)C(N)CC1=CC=C(O)C=C1)C(O)=O,-1.65,7.0,25.0
84921,CCC(C)C(N)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)CC)C(O)=O,-0.89,7.0,25.0
84922,CCC(C)C(N)C(=O)NC(C)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)NCC(O)=O,-1.47,7.0,25.0
84923,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)CNC(=O)CNC(=O)C(N)CC1=CC=C(O)C=C1)C(O)=O,-0.8,7.0,25.0
84924,CSCCC(NC(=O)C(CC1=CC=CC=C1)NC(=O)CNC(=O)CNC(=O)C(N)CC1=CC=C(O)C=C1)C(O)=O,-1.39,7.0,25.0
84925,CCC(C)C(N)C(=O)NC(CCSC)C(=O)NC(CC1=CC=CC=C1)C(O)=O,1.28,7.0,25.0
84926,CCC(C)C(NC(=O)C(N)CCCCN)C(=O)NC(CC1=CC=CC=C1)C(O)=O,0.65,13.0,25.0
84927,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)CCCCN)C(O)=O,0.98,13.0,25.0
84928,CC(C)CC(N)C(=O)NC(CCCCN)C(=O)NC(CC1=CC=CC=C1)C(O)=O,1.14,13.0,25.0
84929,CCC(C)C(NC(=O)C(N)CCCN=C(N)N)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-0.04,13.0,25.0
84930,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)CCCN=C(N)N)C(O)=O,-0.03,13.0,25.0
84931,CC(C)CC(N)C(=O)NC(CCCN=C(N)N)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-0.06,13.0,25.0
84932,CC(C)CC(N)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCCN=C(N)N)C(O)=O,-0.12,13.0,25.0
84933,CCC(C)C(N)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCCN=C(N)N)C(O)=O,-0.05,13.0,25.0
84934,CCC(C)C(NC(=O)C(N)CC1=CN=CN1)C(=O)NC(CC1=CC=CC=C1)C(O)=O,0.44,10.0,25.0
84935,CC(C)CC(NC(=O)C(CC1=CN=CN1)NC(=O)C(N)CC1=CC=CC=C1)C(O)=O,0.64,10.0,25.0
84936,CC(C)C(NC(=O)C(CC1=CN=CN1)NC(=O)C(N)CC1=CNC2=CC=CC=C12)C(O)=O,0.31,10.0,25.0
84937,NC(CC1=CC=CC=C1)C(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)NC(CC1=CN=CN1)C(O)=O,1.0,10.0,25.0
84938,CCC(C)C(NC(=O)C(N)CCC(O)=O)C(=O)NC(CC1=CC=CC=C1)C(O)=O,0.43,2.0,25.0
84939,NC(CC1=CC=CC=C1)C(=O)NC(CCC(O)=O)C(=O)NC(CC1=CC=CC=C1)C(O)=O,0.65,2.0,25.0
