,smiles,logP
3662,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,4.78
3664,CCCCCCCO,2.62
3667,CCCCC(C)O,1.76
3673,CCCCCCC(C)=O,2.37
3674,CCCCCCCCCC(=O)OC,4.41
3675,CC1CCC(O)CC1,1.79
3677,CC(=O)CCC(=O)O,-0.49
3680,O=C(O)c1cc2ccccc2cc1O,3.05
3682,CNc1cccc2c1C(=O)c1ccccc1C2=O,4.1
3685,CCCCCCCCCCCCO,5.13
3696,CCCCNC(=S)NCCCC,2.75
3730,N#CCC#N,-0.6
3733,O=C(O)c1ccccc1I,2.4
3734,O=C(O)c1ccc(I)cc1,3.02
3738,COc1ccc(C#N)cc1,1.7
3739,COc1ccccc1C(=O)O,1.59
3744,COC(=O)c1ccc(N)cc1,1.37
3746,CCC(=O)c1ccccc1O,2.54
3748,O=C(O)Cc1c[nH]c2ccccc12,1.41
3750,C=CC(C)(O)CCC=C(C)C,2.97
3751,CN(c1ccccc1)c1ccccc1,3.9
3758,COC(=O)c1ccccc1C(=O)c1ccccc1,2.7
3768,N#CCCCC#N,-0.72
3770,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,1.46
3773,O=c1[nH]c2ccccc2o1,1.16
3775,OCc1ccccc1O,0.73
3776,COc1ccccc1O,1.32
3777,CC1CCC(=O)CC1,1.38
3788,COC(=O)c1ccc(O)cc1,1.96
3789,CN(C=O)c1ccccc1,1.09
3790,Cc1ccc(O)c(C)c1,2.3
3792,COc1ccccc1OC(C)=O,1.38
3799,Cc1c(C)c(C)c(C)c(C)c1C,5.11
3812,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,3.88
3864,c1ccc(-c2cccc(-c3ccccn3)n2)nc1,1.96
3879,CCCCCCCCCCCC(=O)OCCCC,6.51
3929,NC(CC(=O)O)C(=O)O,-3.89
3930,Brc1cccnc1,1.6
3936,O=C(O)c1cccc(Br)c1,2.87
3937,O=C(O)c1cc(Br)ccc1O,3.23
3943,COc1cc(C(=O)O)ccc1O,1.43
3945,CC(=O)Nc1ccccc1O,0.72
3946,CC(=O)Nc1cccc(O)c1,0.73
3947,CC(=O)Nc1ccc(O)cc1,0.46
3948,Cc1ccc(CO)cc1,1.58
3956,CC(=O)Nc1ccccc1C(=O)O,1.88
3957,CC(=O)Nc1cccc(C(=O)O)c1,1.32
3958,CC(=O)Nc1ccc(C(=O)O)cc1,1.31
3960,COc1ccccc1NC(C)=O,0.67
3961,COc1cccc(NC(C)=O)c1,1.3
3984,CCCCCCCCCC(C)=O,4.09
3992,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,-1.35
3997,O=C(C(=O)c1ccccc1)c1ccccc1,3.38
4006,OC(c1ccccc1)(c1ccccc1)c1ccccc1,3.68
4032,CCCNCCC,1.67
4034,NNc1ccc([N+](=O)[O-])cc1,1.41
4072,CCN,-0.13
4078,O=[N+]([O-])c1cc(Cl)c(O)c(Cl)c1,2.94
4084,COc1ccc(Cl)cc1,2.78
4091,COC(=O)c1ccccc1[N+](=O)[O-],1.66
4092,COC(=O)c1ccc([N+](=O)[O-])cc1,1.89
4093,COc1ccc(OC)c(N)c1,1.2
4094,CCCCC(CC)C(=O)O,2.64
4096,O=[N+]([O-])c1ccc2ncccc2c1,1.82
4101,CCOC(=O)c1ccccc1N,2.57
4106,O=Nc1c(O)ccc2ccccc12,2.28
4107,Cc1ccc2ncccc2c1,2.47
4108,Nc1ccc2ccccc2c1,2.28
4109,Nc1cccc2ccccc12,2.25
4114,CC(=O)Nc1c(C)cc(C)cc1[N+](=O)[O-],1.18
4117,Cc1ccc(C(C)C)cc1,4.1
4121,Cc1cc(O)ccc1Cl,3.1
4125,CC1=CC(=O)c2ccccc2C1=O,2.2
4126,COc1ccc2ccccc2c1,3.47
4151,CCCCCCCCCCCCCCCC(=O)OC,7.38
4174,Cc1c2ccccc2c(C)c2ccccc12,5.69
4209,COc1ccc(OCC(=O)O)cc1,1.23
4219,c1cnc2c(c1)ccc1cccnc12,2.05
4227,O=C(O)c1ccccc1Nc1ccccc1,4.36
4239,O=C1C(Cl)=C(Nc2ccccc2)C(=O)c2ccccc21,4.22
