,smiles,logP,pH,Temperature
210,CC1=CC(C)=NC(OC(C(O)=O)C2(NCC(=O)N(C3=CC=CC=C23)C2=C(F)C=C(F)C=C2F)C2=CC=CC=C2)=N1,0.4,7.4,
211,CCCCC1=CC=CC(=C1)C1(NCC(=O)N(CC2=C(F)C=C(F)C=C2F)C2=CC=CC=C12)C(OC1=NC(C)=CC(C)=N1)C(O)=O,2.3,7.4,
212,CC1=CC(C)=NC(OC(C(O)=O)C2(NCC(=O)N(CC3=C(F)C=C(F)C=C3F)C3=CC=CC=C23)C2=CC(=CC=C2)C2=CC=CC=C2)=N1,1.8,7.4,
213,CC1=CC(OC(C(O)=O)C2(NCC(=O)N(CC3=C(F)C=C(F)C=C3F)C3=CC=CC=C23)C2=CC=CC=C2)=CC(C)=C1,2.1,7.4,
214,CN(CCCNC1=NC2=C(C=CC=C2)N2C=CC=C12)CCCNC1=NC2=C(C=CC=C2)N2C=CC=C12,4.12,7.4,
215,CN(CCCNC1=NC2=C(C=C(Cl)C=C2)N2C=CC=C12)CCCNC1=NC2=C(C=C(Cl)C=C2)N2C=CC=C12,4.44,7.4,
216,COC1=CC2=C(C=C1)N1C=CC=C1C(NCCCN(C)CCCNC1=NC3=C(C=CC(OC)=C3)N3C=CC=C13)=N2,3.55,7.4,
217,COC1=CC2=C(C=C1)N=C(NCCCN(C)CCCNC1=NC3=C(C=C(OC)C=C3)N3C=CC=C13)C1=CC=CN21,3.41,7.4,
218,ClC1=CC2=C(C=C1)N=C(NCCCNCCCNC1=NC3=C(C=C(Cl)C=C3)N3C=CC=C13)C1=CC=CN21,5.06,7.4,
219,COC1=CC2=C(C=C1)N1C=CC=C1C(NCCCNCCCNC1=NC3=C(C=CC(OC)=C3)N3C=CC=C13)=N2,2.76,7.4,
220,COC1=CC2=C(C=C1)N=C(NCCCNCCCNC1=NC3=C(C=C(OC)C=C3)N3C=CC=C13)C1=CC=CN21,2.58,7.4,
221,C(CNC1=NC2=C(C=CC=C2)N2C=CC=C12)CN1CCN(CCCNC2=NC3=C(C=CC=C3)N3C=CC=C23)CC1,2.52,7.4,
222,ClC1=CC2=C(C=C1)N=C(NCCCN1CCN(CCCNC3=NC4=C(C=C(Cl)C=C4)N4C=CC=C34)CC1)C1=CC=CN21,4.92,7.4,
223,COC1=CC2=C(C=C1)N1C=CC=C1C(NCCCN1CCN(CCCNC3=NC4=C(C=CC(OC)=C4)N4C=CC=C34)CC1)=N2,3.72,7.4,
224,COC1=CC2=C(C=C1)N=C(NCCCN1CCN(CCCNC3=NC4=C(C=C(OC)C=C4)N4C=CC=C34)CC1)C1=CC=CN21,4.67,7.4,
225,C(CNC1=NC2=C(N=CC=C2)N2C=CC=C12)CN1CCN(CCCNC2=NC3=C(N=CC=C3)N3C=CC=C23)CC1,5.05,7.4,
226,COC1=NC2=C(C=C1)N=C(NCCCN1CCN(CCCNC3=NC4=C(N=C(OC)C=C4)N4C=CC=C34)CC1)C1=CC=CN21,4.73,7.4,
227,COC1=CC2=C(C=C1)N1C(Cl)=CC=C1C(NCCCN1CCN(CCCNC3=NC4=C(C=CC(OC)=C4)N4C(Cl)=CC=C34)CC1)=N2,5.74,7.4,
228,[O-][N+]1=NC(NCCCCCCNC2=C3C=CC=CC3=NC3=C2C=CC=C3)=[N+]([O-])C2=C1C=CC=C2,1.69,7.4,
229,CN(CCCNC(=O)C1=CC=CC2=C1N=CC=C2)CCCNC1=[N+]([O-])C2=C(C=CC=C2)[N+]([O-])=N1,0.15,7.4,
230,CN(CCCNC(=O)C1=CC=CC2=NC3=C(C=CC=C3)N=C12)CCCNC1=[N+]([O-])C2=C(C=CC=C2)[N+]([O-])=N1,0.59,7.4,
231,CN(CCCNC(=O)C1=C2N=C(C=CC2=CC=C1)C1=CC=NC=C1)CCCNC1=[N+]([O-])C2=CC=CC=C2[N+]([O-])=N1,0.66,7.4,
232,CN(CCCNC(=O)C1=CC=CC2=CC3=C(C=CC=C3)N=C12)CCCNC1=[N+]([O-])C2=C(C=CC=C2)[N+]([O-])=N1,1.53,7.4,
233,CN(CCCNC(=O)C1=CC=CC2=NC3=C(N=C12)C(C)=CC=C3)CCCNC1=[N+]([O-])C2=C(C=CC=C2)[N+]([O-])=N1,1.4,7.4,
234,CN(CCCNC(=O)C1=CC=CC2=CC3=C(N=C12)C(C)=CC=C3)CCCNC1=[N+]([O-])C2=C(C=CC=C2)[N+]([O-])=N1,2.28,7.4,
235,[O-][N+]1=NC(NCCOCCNC(=O)C2=CC=CC3=CC4=C(C=CC=C4)N=C23)=[N+]([O-])C2=C1C=CC=C2,1.84,7.4,
236,CN(CCNC(=O)C1=CC=CC2=CC3=C(C=CC=C3)N=C12)CCNC1=[N+]([O-])C2=C(C=CC=C2)[N+]([O-])=N1,2.15,7.4,
237,[O-][N+]1=NC(NCCNCCNC(=O)C2=CC=CC3=CC4=C(C=CC=C4)N=C23)=[N+]([O-])C2=C1C=CC=C2,1.36,7.4,
238,[O-][N+]1=NC(NCCCNCCCNC(=O)C2=CC=CC3=CC4=C(C=CC=C4)N=C23)=[N+]([O-])C2=CC=CC=C12,0.88,7.4,
239,CCOC(=O)C(CC1=CC=C(OC(=O)N(C)C)C=C1)NC(=O)C1N(CSC1(C)C)S(=O)(=O)C1=CN(C)N=C1,2.14,5.5,
240,CC(C)OC(=O)C(CC1=CC=C(OC(=O)N(C)C)C=C1)NC(=O)C1N(CSC1(C)C)S(=O)(=O)C1=CN(C)N=C1,2.46,5.5,
241,CN(C)C(=O)OC1=CC=C(CC(NC(=O)C2N(CSC2(C)C)S(=O)(=O)C2=CN(C)N=C2)C(=O)OCC(C)(C)C)C=C1,3.42,5.5,
242,CN(C)C(=O)OC1=CC=C(CC(NC(=O)C2N(CSC2(C)C)S(=O)(=O)C2=CN(C)N=C2)C(=O)OCOC(=O)C(C)(C)C)C=C1,3.14,5.5,
243,COCCOCCOC(=O)C(CC1=CC=C(OC(=O)N(C)C)C=C1)NC(=O)C1N(CSC1(C)C)S(=O)(=O)C1=CN(C)N=C1,1.41,5.5,
244,CN(C)C(=O)OC1=CC=C(CC(NC(=O)C2N(CSC2(C)C)S(=O)(=O)C2=CN(C)N=C2)C(=O)OCCOC2=CC=CC=C2)C=C1,3.27,5.5,
245,COC1=CC(CN(C(C)=O)C2=C(OC3=CC=CC=C3)C=CC(F)=C2)=C(O)C=C1,2.78,7.4,
246,COC1=CC=C(OC)C(CN(C(C)=O)C2=C(OC3=CC=CC=C3)C=CC(F)=C2)=C1,3.65,7.4,
247,COC1=CC=C(OCF)C(CN(C(C)=O)C2=CC(F)=CC=C2OC2=CC=CC=C2)=C1,3.7,7.4,
248,COC1=CC=C(OCCF)C(CN(C(C)=O)C2=CC(F)=CC=C2OC2=CC=CC=C2)=C1,3.81,7.4,
